University of California, San Francisco	['Maria Wamsley, M.D.', 'Angel Chen, RN, MSN, PNP', 'Josette Rivera, MD', 'Susan Hyde, DDS, MPH, PhD', 'Rebecca Shunk, MD']	Collaboration and Communication in Healthcare: Interprofessional Practice	May 11th, 2015	5 weeks long
Georgia Institute of Technology	['Dr. Nick Feamster']	Software Defined Networking	May 25th, 2015	8 weeks long
University of Pennsylvania	['Peter Struck']	Greek and Roman Mythology	Apr 27th, 2015	10 weeks long
Northwestern University	['John Lavine', 'Candy Lee']	Content Strategy for Professionals 2: Expanding Your Content’s Impact and Reach	Jun 1st, 2015	6 weeks long
University of Colorado System	['Dr. Jay Lemery, MD']	Foundations for Global Health Responders	May 4th, 2015	6 weeks long
University of California, San Francisco	['John Featherstone, MSc, PhD']	Caries Management by Risk Assessment (CAMBRA)	Apr 6th, 2015	6 weeks long
The University of Edinburgh	['Beth Christie', 'Pete Higgins']	Learning for Sustainability: Developing a personal ethic	Jun 22nd, 2015	5 weeks long
University of California, Irvine	['Cindy  Carbajal']	Foundations of Virtual Instruction	Jul 6th, 2015	5 weeks long
Universitat Autònoma de Barcelona	['Jordi Vallverdú']	Emotions: a Philosophical Introduction	May 18th, 2015	6 weeks long
The University of Edinburgh	['Dr Victoria Sandilands']	Chicken Behaviour and Welfare	Apr 3rd, 2015	5 weeks long
American Museum of Natural History	['Joel Cracraft, Ph.D.', 'David Randle, Ph.D.']	Evolution: A Course for Educators	Aug 3rd, 2015	4 weeks long
Nanyang Technological University, Singapore	['Alan K. L. Chan']	Explorations in Confucian Philosophy	Sep 28th, 2015	8 weeks long
Tel Aviv University	['Professor Asher  Susser', 'Duygu Atlas']	The Emergence of the Modern Middle East - Part II	Apr 12th, 2015	5 weeks long
Rice University	['Luay Nakhleh', 'Scott Rixner', 'Joe Warren']	Algorithmic Thinking (Part 1)	May 29th, 2015	4 weeks long
Johns Hopkins University	['William Brieger']	Community Change in Public Health	Apr 13th, 2015	6 weeks long
University of Copenhagen	['Flemming Konradsen']	An Introduction to Global Health	Apr 13th, 2015	6 weeks long
University of Illinois at Urbana-Champaign	['ChengXiang Zhai']	Text Mining and Analytics	Jun 8th, 2015	4 weeks long
University of California, Irvine	['Chris Long']	Advanced Instructional Strategies in the Virtual Classroom	Apr 13th, 2015	5 weeks long
The University of Melbourne	['Prof. Greg Restall', 'Dr Jen Davoren']	Logic: Language and Information 2	Apr 14th, 2015	8 weeks long
University of New Mexico	['Eliseo (Cheo) Torres']	Curanderismo Part 1: Traditional Healing of the Body	Mar 30th, 2015	6 weeks long
The University of Melbourne	['Raoul Mulder', 'Mark Elgar']	Animal Behaviour	Jun 1st, 2015	8 weeks long
University of Illinois at Urbana-Champaign	['John C. Hart']	Data Visualization	Jul 20th, 2015	4 weeks long
New Teacher Center	['Lisa Mount']	Common Core in Action II: Exploring Literacy Design Collaborative Tools	Mar 30th, 2015	6 weeks long
University of Colorado Boulder	['Anne U.  Gold', 'Eric Gordon']	Water in the Western United States	Apr 1st, 2015	5 weeks long
The University of Edinburgh	['Andy Lawrence', 'Catherine Heymans']	AstroTech: The Science and Technology behind Astronomical Discovery	May 18th, 2015	6 weeks long
